Brand,Series,Weight,Display Size,Pixel Density,Display Touchscreen,Graphic Processor,RAM Capacity,RAM Type,SSD Capacity,OS,Processor_Brand,Price (Rs),Processor_Series,Graphics Memory
HP,pavilion,1.41,14.0,157.0,0,intel iris x,16,ddr4,512,win 10,intel,71990.0,i5,0
Acer,predator,2.6,16.0,142.0,0,nvidia geforce rtx 4050,16,ddr5,512,win 11,intel,105999.0,i7,6
Dell,inspiron,2.2,15.6,141.0,0,amd radeon 530,8,ddr4,512,win 10,intel,54999.0,i5,2
MSI,GV62,2.2,15.6,141.0,0,nvidia geforce gtx 1050,8,ddr4,512,dos,intel,67990.0,i7,4
Dell,inspiron,1.8,15.6,141.0,0,amd radeon,4,ddr4,256,win 11,amd,42210.0,dual core,0
HP,15s,1.7,15.6,141.0,0,amd radeon,8,ddr4,256,win 10,amd,47990.0,ryzen 5,0
Lenovo,ideapad,1.85,15.6,141.0,0,intel integrated graphics,8,ddr4,512,win 10,intel,44990.0,i5,0
Asus,vivobook,1.45,14.0,243.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,amd,89990.0,octa core,4
Asus,zenbook,1.25,14.0,157.0,0,intel uhd 620,8,ddr4,256,win 10,intel,45990.0,i5,0
Lenovo,ideapad,1.65,15.6,141.0,0,intel iris xe,8,ddr4,512,win 10,intel,81090.0,i5,0
Asus,vivobook,1.5,14.0,157.0,0,intel uhd,4,ddr4,512,win 10,intel,46990.0,i3,0
Acer,aspire,2.1,15.6,141.0,0,nvidia geforce mx130,8,ddr4,512,linux,intel,44890.0,i5,2
Dell,inspiron,2.62,15.6,141.0,0,nvidia geforce gtx 1050t,8,ddr4,512,win 10,intel,64990.0,i5,4
Dell,inspiron,2.5,15.6,100.0,0,amd radeon r5 m430,4,ddr4,256,win 10,intel,44182.0,i5,2
MSI,Modern,1.19,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,54990.0,i5,0
Lenovo,ideapad,2.2,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,66490.0,ryzen 5,4
Asus,vivobook,1.8,15.6,141.0,0,intel uhd,8,ddr4,256,win 10,intel,50990.0,i5,0
Lenovo,ideapad,1.66,15.6,141.0,0,amd radeon,8,ddr4,512,win 11,amd,48440.0,ryzen 5,0
MSI,alpha,2.35,15.6,141.0,0,amd radeon rx 6600m,16,ddr4,1024,win 10,amd,114990.0,octa core,8
Asus,vivobook,1.6,14.0,157.0,0,intel iris xe,8,ddr4,256,win 11,intel,65999.0,i5,0
MSI,alpha,2.35,15.6,141.0,0,amd radeon rx 6600m,8,ddr4,512,win 11,amd,84990.0,octa core,8
Asus,vivobook,1.8,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,27990.0,i3,0
MSI,modern,1.4,14.0,157.0,0,intel iris xe,16,ddr4,512,win 11,intel,40499.0,i5,0
Acer,predator,2.7,15.6,141.0,0,nvidia geforce gtx 1060,16,ddr4,128,win 10,intel,125990.0,i5,6
HP,pavilion,1.14,14.0,157.0,0,intel iris xe,8,ddr4,512,win 10,intel,59860.0,i5,0
HP,15,1.86,15.6,100.0,0,amd radeon r2,4,ddr3,256,win 10,amd,24955.0,dual core,0
HP,victus,2.46,16.1,137.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,62112.0,ryzen 5,4
HP,pavilion,2.23,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,256,win 10,intel,68200.0,i5,4
Lenovo,ideapad,2.2,15.6,141.0,0,nvidia geforce gtx 1650 ti,8,ddr4,256,win 10,intel,82990.0,i7,4
Lenovo,ideapad,2.25,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 11,intel,48411.0,i5,4
Lenovo,ideapad,1.85,15.6,141.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,38990.0,quad core,0
MSI,gf63,1.86,15.6,141.0,0,nvidia geforce gtx 1650 max q,8,ddr4,512,win 10,intel,71490.0,i7,4
Lenovo,legion,2.3,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,intel,62490.0,i5,4
Acer,swift,0.97,14.0,157.0,0,intel uhd 620,8,ddr4,512,win 10,intel,84990.0,i7,0
HP,chromebook,1.46,14.0,157.0,0,intel uhd graphics,4,lpddr4,256,chorme os,intel,20590.0,celeron,0
Acer,aspire,1.9,15.6,141.0,0,amd radeon,8,ddr4,256,win 11,amd,26999.0,dual core,0
HP,15q,1.86,15.6,100.0,0,amd radeon 520,8,ddr4,512,dos,intel,42990.0,i5,2
Dell,inspiron,1.83,15.6,141.0,0,amd radeon vega,8,ddr4,256,win 10,amd,40190.0,dual core,0
Avita,satus,1.3,14.1,156.0,0,intel integrated,4,lpddr4,128,win 11,intel,18990.0,celeron,0
HP,pavilion,1.5,14.0,157.0,0,intel uhd,8,ddr4,512,win 11,intel,49990.0,i3,0
HP,15q,1.86,15.6,100.0,0,amd radeon 520,8,ddr4,512,win 10,intel,50790.0,i5,2
Asus,vivobook,1.8,16.0,142.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,intel,66990.0,i5,4
Acer,nitro,2.6,15.6,141.0,0,nvidia geforce rtx 3050,8,ddr4,512,win 11,intel,77425.0,i5,4
Avita,satus,1.3,14.1,156.0,0,intel uhd 600,4,lpddr4,128,win 11,intel,17490.0,celeron,0
HP,15s,1.7,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,32800.0,i3,0
realme,Book,1.37,14.0,185.0,0,intel iris xe,16,ddr4,512,win 11,intel,64990.0,i5,0
Acer,aspire,2.2,15.6,100.0,0,nvidia geforce mx 150,8,ddr4,512,win 10,intel,50279.0,i5,2
Lenovo,ideapad,1.85,15.6,141.0,0,intel uhd,8,ddr4,512,win 10,intel,42990.0,i5,0
